name,image_url,source_page
Carlene Hempel,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2018/03/Carlene_Hempel_1.1-300x300.jpg,https://camd.northeastern.edu/people/carlene-hempel/
Michael Ruff,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/MichaelRuff.jpg,https://damore-mckim.northeastern.edu/people/michael-f-ruff/
Christopher Miller,https://damore-mckim.northeastern.edu/wp-content/uploads/2021/07/cmiller3.jpg,https://damore-mckim.northeastern.edu/people/christopher-miller/
Skylar Borgstrom,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2022/08/SkylarBorgstrom_1-1-1-300x300.png,https://camd.northeastern.edu/people/skylar-borgstrom/
Colin Connors,https://cssh.northeastern.edu/wp-content/uploads/2020/07/Screen-Shot-2021-08-17-at-11.41.17-AM-400x400.png,https://cssh.northeastern.edu/faculty/colin-connors/
Andrew Butler,https://damore-mckim.northeastern.edu/wp-content/uploads/2025/02/andrew-butler-headshot520x520px.jpg,https://damore-mckim.northeastern.edu/people/andrew-butler/
Debashish Ghose,https://damore-mckim.northeastern.edu/wp-content/uploads/2023/09/debashish-ghose520x520.jpg,https://damore-mckim.northeastern.edu/people/debashish-ghose/
Hua Dong,https://cssh.northeastern.edu/wp-content/uploads/2020/01/WLC-Hua-Dong-web-400x400.jpg,https://cssh.northeastern.edu/faculty/hua-dong/
Iesha Karasik,https://damore-mckim.northeastern.edu/wp-content/uploads/2021/09/I_Karasik_lr.jpg,https://damore-mckim.northeastern.edu/people/ieshia-karasik/
Mark Gooley,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/Mark_Gooley.jpg,https://damore-mckim.northeastern.edu/people/mark-gooley/
Deborah Soule,https://damore-mckim.northeastern.edu/wp-content/uploads/2024/09/deborah-soule-headshot520x520px.png,https://damore-mckim.northeastern.edu/people/deborah-soule/
Ravit Heskiau,https://damore-mckim.northeastern.edu/wp-content/uploads/2020/03/ravit-headshot-520x520.jpg,https://damore-mckim.northeastern.edu/people/ravit-heskiau/
